,artist_id,name,popularity_1,genres1,female,male
126,3669,High Places,42,"['chill beats', 'chill out']",59.0,41.0
127,2956,Invincible,83,['brooklyn drill'],53.0,47.0
128,2930,The Truth,64,"['contemporary country', 'country', 'country road']",57.8,42.2
129,3233,Alena,68,"['classical', 'early avant garde', 'early modern classical', 'impressionism', 'post-romantic era']",40.0,60.0
130,1959,Sirens,54,"['jam band', 'jamgrass', 'progressive bluegrass']",50.2,49.8
131,2824,Payton Rae,32,[],50.7,49.3
132,230,Headphones,61,"['alt z', 'indie pop', 'nyc pop']",58.7,41.3
133,2899,Joel Compass,14,[],54.6,45.4
134,2883,Subtle,9,['pet calming'],51.1,48.9
135,2832,Redwood,50,['la pop'],48.1,51.9
136,798,Willy Porter,15,['eau claire indie'],56.7,43.3
137,632,Nick Santino,24,['alternative pop rock'],55.8,44.2
138,3383,Wildbirds & Peacedrums,21,[],52.3,47.7
139,3219,Illuminate,56,"['alternative hip hop', 'conscious hip hop', 'escape room', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']",60.8,39.2
140,3126,High Tide,59,"['electropop', 'indie poptimism', 'new french touch', 'tropical house', 'vapor soul']",41.9,58.1
141,3309,Funeral,70,"['indie pop', 'la indie']",45.0,55.0
142,1759,Marnie Stern,24,['noise rock'],40.2,59.8
143,3677,Empires,60,[],53.0,47.0
144,3173,Ex Cops,34,['popgaze'],45.1,54.9
145,855,Fate,64,[],48.8,51.2
146,3063,Stockholm Syndrome,71,"['boy band', 'pop', 'post-teen pop', 'talent show']",57.8,42.2
147,3432,Jessica Hernandez & The Deltas,19,['detroit rock'],47.7,52.3
148,3616,Clockwork,63,"['australian metalcore', 'deep melodic metalcore', 'djent', 'melodic metalcore', 'metalcore', 'nu-metalcore', 'progressive metalcore']",52.7,47.3
149,2685,Elf Power,22,"['athens indie', 'elephant 6', 'gbvfi', 'lo-fi']",56.7,43.3
150,1639,Lord,73,"['east coast hip hop', 'hip hop', 'rap', 'trap']",42.9,57.1
151,84,Caracara,43,"['afro soul', 'south african hip hop', 'south african pop', 'south african trap']",60.2,39.8
152,3673,Hillaryjane,32,['christian pop'],49.3,50.7
153,2948,T.O.L.D.,34,[],44.9,55.1
154,2083,Professor Murder,37,['dance-punk'],40.1,59.9
155,393,Hollywood,78,"['dfw rap', 'melodic rap', 'rap']",43.3,56.7
156,801,Pink Mountaintops,30,"['canadian psychedelic rock', 'vancouver indie']",41.9,58.1
157,523,Wallace,45,"['german soundtrack', 'orchestral soundtrack', 'soundtrack']",43.9,56.1
158,1975,OMG Girlz,35,[],46.6,53.4
159,2504,Linus Young,34,[],56.3,43.7
160,3248,Soilent Green,29,"['american grindcore', 'grindcore', 'louisiana metal', 'sludge metal']",43.2,56.8
161,1410,Dominic,83,"['alternative pop rock', 'pop']",57.6,42.4
162,3515,Innocence,60,"['anime', 'anime rock', 'j-pixie', 'otacore']",46.1,53.9
163,2137,Dutch Uncles,27,"['candy pop', 'pixie', 'pop emo', 'pop punk']",49.6,50.4
164,1626,Anita Bryant,13,['deep adult standards'],53.9,46.1
165,337,Palace,70,"['alternative r&b', 'indie soul', 'lgbtq+ hip hop', 'r&b']",52.6,47.4
166,188,Rock Kills Kid,32,['stomp pop'],60.7,39.3
167,674,Wildfire,68,"['deep new americana', 'new americana', 'north carolina roots', 'progressive bluegrass', 'stomp and holler']",57.3,42.7
168,2788,Clouds,71,"['hip hop', 'pop rap', 'rap']",58.9,41.1
169,2793,Steve Wynn,26,['lilith'],44.3,55.7
170,2157,Ghosty,93,"['canadian pop', 'pop']",56.0,44.0
171,878,Popeye,53,"['alternative r&b', 'chill r&b']",44.0,56.0
172,3287,Tomorrow,69,"['contemporary country', 'country', 'country road', 'modern country rock']",46.3,53.7
173,628,Bola,68,"['afrofuturismo brasileiro', 'bass trap', 'electronic trap', 'funk carioca', 'pop nacional']",45.4,54.6
174,247,Bungalow,59,[],44.8,55.2
175,148,Since October,40,"['christian alternative rock', 'christian rock', 'hard alternative']",53.5,46.5
176,2004,Flying Saucer Attack,40,"['pub rock', 'punk', 'scottish new wave', 'zolo']",57.8,42.2
177,2535,Death Team,31,[],48.2,51.8
178,432,Crazy,78,['chicago rap'],54.5,45.5
179,2601,Celebration,76,"['disco', 'funk', 'motown', 'quiet storm', 'soul']",42.4,57.6
180,3560,Churchill,30,['trap beats'],42.7,57.3
181,1559,Restorations,36,"['alternative emo', 'heartland rock', 'orgcore', 'philly indie']",43.1,56.9
182,771,OMG,76,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",60.7,39.3
183,934,Crystal Ball,49,"['alternative rock', 'neo mellow', 'pop rock', 'post-grunge', 'rock']",48.8,51.2
184,2825,Ricky Dillon,33,['teen pop'],60.0,40.0
185,528,Buke and Gase,34,"['brooklyn indie', 'deep indie rock']",57.1,42.9
186,2138,Mike Watt,33,['background jazz'],56.1,43.9
187,147,Exotic,56,"['atl hip hop', 'atl trap', 'rap', 'trap']",47.4,52.6
188,442,Memory Tapes,37,"['chillwave', 'grave wave', 'new jersey indie']",49.8,50.2
189,397,Dogwood,51,"['modern southern rock', 'texas country']",55.3,44.7
190,727,Willie Taylor,33,['pop r&b'],55.0,45.0
191,716,Flamingo,65,"['art pop', 'escape room', 'hyperpop', 'japanese electropop']",57.4,42.6
192,2399,Inside Out,71,"['alternative metal', 'alternative rock', 'pop rock', 'post-grunge']",48.2,51.8
193,2224,The Madden Brothers,14,[],52.0,48.0
194,2627,Cynthia Clawson,36,"['country gospel', 'southern gospel']",45.7,54.3
195,2310,Teen Idols,38,"['orgcore', 'power-pop punk', 'ramonescore', 'skate punk']",51.5,48.5
196,2529,Goddess,60,['alt z'],46.4,53.6
197,1029,Alibi,59,"['arkansas country', 'contemporary country', 'country', 'country road', 'country rock']",42.5,57.5
198,1054,Promises,71,[],57.7,42.3
199,787,Lay Low,64,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",41.4,58.6
200,1171,Gold Fields,26,[],56.5,43.5
201,1231,Steve Camp,34,['deep christian rock'],55.9,44.1
202,3723,John Doe,45,[],42.5,57.5
203,2718,Parallels,61,[],52.9,47.1
204,2923,The Outsiders,54,"['contemporary country', 'country', 'country road', 'modern country rock']",46.4,53.6
205,1474,Wax,55,"['cali rap', 'gangster rap', 'hyphy', 'oakland hip hop', 'rap', 'southern hip hop', 'trap']",53.6,46.4
206,3183,Ex Hex,33,"['indie punk', 'modern power pop']",43.9,56.1
207,2147,Scarecrow,63,"['contemporary country', 'outlaw country']",49.6,50.4
208,2510,The Men,88,"['canadian pop', 'dance pop', 'pop', 'viral pop']",57.3,42.7
209,2980,Solitaire,68,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",43.2,56.8
210,2665,Quasi,47,"['k-pop', 'k-pop boy group']",57.2,42.8
211,3576,Daydreamer,62,"['british soul', 'pop', 'pop soul', 'uk pop']",48.3,51.7
212,2320,DJ Scream,36,"['atl hip hop', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",46.3,53.7
213,1096,Voice Male,30,"['a cappella', 'christian a cappella', 'college a cappella', 'lds']",53.8,46.2
214,1519,Circles,89,"['dfw rap', 'melodic rap', 'rap']",53.9,46.1
215,1702,Sleepless,65,"['alternative r&b', 'indie soul']",60.4,39.6
216,231,The Weavers,30,"['american folk revival', 'folk']",46.5,53.5
217,180,Criminal,78,"['latin', 'latin pop', 'rap latina', 'reggaeton', 'trap latino']",57.9,42.1
218,419,Mona Lisa,71,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",48.5,51.5
219,136,Young Magic,43,"['art pop', 'canadian electropop', 'chillwave', 'dark pop', 'dream pop', 'edmonton indie', 'electropop', 'escape room', 'grave wave', 'indietronica', 'metropopolis', 'shimmer pop']",47.6,52.4
220,888,Porcelain Raft,40,"['chillwave', 'indie dream pop', 'rome indie']",51.8,48.2
221,3498,Distance,68,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap']",58.1,41.9
222,2007,Tunde Olaniran,44,"['detroit indie', 'escape room']",57.1,42.9
223,982,Restless,63,"['k-pop', 'korean r&b']",43.3,56.7
224,1217,Absoluuttinen Nollapiste,0,"['classic finnish rock', 'finnish indie', 'finnish progressive rock', 'finnish punk', 'musiikkia lapista', 'suomi rock']",47.6,52.4
225,1547,Karma,65,"['modern rock', 'pop rap']",52.0,48.0
226,3234,Charles Hamilton,46,"['alternative hip hop', 'soul flow']",50.2,49.8
227,3420,Supernatural,62,"['melodic rap', 'rap', 'trap']",59.3,40.7
228,1914,Freaks,90,"['dreamo', 'indie surf', 'surf punk', 'vegas indie']",59.7,40.3
229,3374,Five Knives,40,[],56.1,43.9
230,3409,JT Hodges,36,"['contemporary country', 'country pop', 'country road', 'modern country rock']",43.7,56.3
231,1053,Killradio,35,[],58.7,41.3
232,2624,Animal Kingdom,43,"['memphis americana', 'memphis indie']",50.6,49.4
233,414,Smile,71,"['country', 'country road', 'pop rock']",45.5,54.5
234,1091,Amelia Lily,25,['talent show'],41.7,58.3
235,3178,Steve Grand,36,['queer country'],56.1,43.9
236,3689,Superfood,33,"['bedroom pop', 'brighton indie']",44.3,55.7
237,475,Quincy,76,"['canadian contemporary r&b', 'canadian pop', 'pop']",50.3,49.7
238,3652,Gladiator,67,"['modern alternative rock', 'modern rock', 'rebel blues']",56.8,43.2
239,3602,Kate Boy,42,"['electropop', 'metropopolis', 'shiver pop', 'swedish electropop', 'swedish synthpop']",51.0,49.0
240,2396,Guy Davis,46,"['acoustic blues', 'country blues', 'piedmont blues']",52.7,47.3
241,2591,Collide,77,"['alternative r&b', 'chill r&b', 'indie r&b', 'pop', 'pop r&b', 'post-teen pop', 'r&b', 'urban contemporary']",46.2,53.8
242,2562,Human,80,['neo soul'],55.5,44.5
243,3334,Gang Gang Dance,38,['indietronica'],47.5,52.5
244,3019,Hurricane,83,"['chicago rap', 'rap']",45.6,54.4
245,3310,Jason Robert Brown,42,"['broadway', 'show tunes']",54.9,45.1
246,1041,Colleen Green,37,"['bubblegrunge', 'garage psych', 'indie punk', 'la indie', 'popgaze']",53.9,46.1
247,1606,Mikal Cronin,40,"['garage pop', 'modern power pop']",41.7,58.3
248,2833,Magic Wands,38,['metropopolis'],55.7,44.3
249,1534,Tifa,40,['lo-fi vgm'],40.6,59.4
250,3659,Teairra Mari,43,"['hip pop', 'r&b', 'urban contemporary']",41.4,58.6
251,549,Morning Parade,35,['piano rock'],53.7,46.3
252,1182,Ken Mellons,43,['deep contemporary country'],52.0,48.0
253,590,Alli Simpson,46,['teen pop'],46.7,53.3
254,1001,Conor Oberst and the Mystic Valley Band,37,['omaha indie'],40.3,59.7
255,497,Nebula,64,['sleep'],60.6,39.4
256,1266,Body Language,61,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",46.3,53.7
257,799,Cold Specks,30,"['downtempo', 'electronica']",60.8,39.2
258,790,GEMS,52,"['escape room', 'trap queen']",41.5,58.5
259,893,Fuck Buttons,39,['bristol electronic'],40.7,59.3
260,3070,Barefoot Truth,41,['reggae rock'],50.1,49.9
261,3136,Stan Kenton,39,"['adult standards', 'lounge', 'swing', 'vocal jazz']",56.8,43.2
262,3368,Alien,88,"['boston indie', 'indie garage rock']",61.0,39.0
263,2334,Coco,75,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']",42.6,57.4
264,1994,Stepdad,66,"['detroit hip hop', 'hip hop', 'rap']",57.8,42.2
265,2274,Spooks,80,['san diego rap'],46.8,53.2
266,2105,The Chase,44,"['alternative r&b', 'dance pop', 'electropop', 'hip pop', 'metropopolis', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",56.0,44.0
267,1732,Priory,40,[],60.9,39.1
268,3130,Tomas Barfod,36,"['edm', 'electro house', 'electronic trap', 'pop rap', 'trap']",56.7,43.3
269,1418,Jasmine V,0,"['italian hip hop', 'trap italiana']",50.0,50.0
270,1782,Light Asylum,35,"['grave wave', 'metropopolis']",48.2,51.8
271,1173,Bishop Lamont,43,"['alternative metal', 'funk metal', 'nu metal', 'rap rock']",49.6,50.4
272,1107,TKO,59,"['dance pop', 'pop']",58.3,41.7
273,694,George Beverly Shea,31,['country gospel'],48.8,51.2
274,2919,Jeff Bates,41,"['country', 'country road', 'modern country rock']",54.8,45.2
275,2783,Red Eyes,67,"['indie rock', 'philly indie']",51.1,48.9
276,1545,Matt McAndrew,38,['deep talent show'],60.3,39.7
277,3407,Zhala,52,"['christian hip hop', 'christian trap']",47.9,52.1
278,2992,HTRK,41,"['art pop', 'australian experimental', 'chamber psych', 'experimental pop', 'new isolationism', 'outsider house']",49.0,51.0
279,2961,The Gift,59,[],58.1,41.9
280,3145,Steve McDonald,44,"['boy band', 'contemporary r&b']",60.1,39.9
281,1016,Swervedriver,35,"['alternative pop', 'alternative rock', 'dream pop', 'gbvfi', 'grungegaze', 'noise pop', 'nu gaze', 'post-hardcore', 'shoegaze']",49.8,50.2
282,807,Will Butler,42,['indie rock'],45.0,55.0
283,536,Avey Tare,45,['noise pop'],42.1,57.9
284,493,The Unthanks,37,"['british folk', 'chamber folk', 'traditional british folk', 'traditional english folk']",58.0,42.0
285,1481,Ceschi,35,"['abstract hip hop', 'underground rap']",60.1,39.9
286,1097,Holly Williams,40,['nashville singer-songwriter'],58.5,41.5
287,1301,Beatrice Eli,33,"['metropopolis', 'swedish electropop']",53.1,46.9
288,3022,Felt,63,['neo-classical'],60.9,39.1
289,1065,Beth Nielsen Chapman,40,"['classic uk pop', 'folk', 'lilith']",47.9,52.1
290,921,Blah Blah Blah,65,"['dance pop', 'electropop', 'pop', 'post-teen pop']",50.5,49.5
291,979,The Tenors,43,['operatic pop'],57.4,42.6
292,3413,Cowboy Mouth,47,['alternative roots rock'],51.8,48.2
293,636,El Perro Del Mar,30,"['gothenburg indie', 'swedish indie pop', 'swedish synthpop']",43.8,56.2
294,794,Pictureplane,37,['grave wave'],47.1,52.9
295,1617,Cabaret Voltaire,33,"['art rock', 'bleep techno', 'british experimental', 'british industrial', 'ebm', 'electro-industrial', 'experimental', 'experimental rock', 'industrial', 'industrial rock', 'new romantic', 'new wave', 'post-punk', 'proto-techno', 'synthpop', 'uk post-punk']",52.6,47.4
296,1568,Keith Harkin,34,"['celtic', 'celtic rock', 'operatic pop']",59.0,41.0
297,2545,Chatham County Line,40,"['banjo', 'bluegrass', 'mandolin', 'north carolina roots', 'progressive bluegrass']",53.7,46.3
298,326,Desperation,52,"['detroit hip hop', 'hip hop', 'rap']",42.5,57.5
299,70,Parker Ainsworth,52,[],60.4,39.6
300,112,Trevor Moran,42,['teen pop'],49.3,50.7
301,3030,Linda Eder,40,['show tunes'],57.0,43.0
302,1697,Tha Joker,89,"['pop', 'uk pop']",57.9,42.1
303,2223,Dawn Upshaw,46,"['compositional ambient', 'contemporary classical', 'minimalism', 'polish contemporary classical']",58.8,41.2
304,379,Dillinger Four,42,"['emo', 'indie punk', 'melodic hardcore', 'minneapolis punk', 'orgcore', 'power-pop punk', 'punk', 'skate punk']",48.3,51.7
305,2118,LuvBug,34,['aesthetic rap'],55.5,44.5
306,810,The Maccabeats,19,"['college a cappella', 'jewish a capella', 'jewish pop', 'judaica']",48.4,51.6
307,2615,Ivory,51,[],44.9,55.1
308,3276,Mindi Abair,33,['smooth jazz'],43.1,56.9
309,3451,Two Gallants,44,"['bay area indie', 'stomp and holler']",50.6,49.4
310,3043,Chris Miles,51,['deep underground hip hop'],40.3,59.7
311,3326,Diggy Simmons,55,"['pop r&b', 'pop rap']",41.7,58.3
312,117,The Subdudes,48,"['louisiana blues', 'swamp rock']",50.8,49.2
313,221,Marlisa,48,"['australian pop', 'australian talent show']",47.1,52.9
314,2860,Chanel West Coast,50,[],45.0,55.0
315,3547,Lightning Bolt,66,"['modern rock', 'nottingham indie', 'rock']",44.7,55.3
316,510,Florrie,41,"['electropop', 'indie poptimism', 'uk pop', 'vapor soul']",41.6,58.4
317,1843,Glory,73,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter', 'soft rock']",50.5,49.5
318,1070,Wolf Gang,47,['shimmer pop'],48.7,51.3
